field	entity	script	vanilla_byte	echo_entity	echo_script	echo_byte	opcode	echo_opcode	status	left_anchors	right_anchors	field_name	vanilla_script_sha256	echo_script_sha256	text
116	0	0	160	0	0	205	0x24	0x24	mapped	8	8	md1stin	18E7F7E7DD47A52C98255001DA76578D335AF5F4CA238ADA81FCD5EC6FEB6FA2	AC918E9D3752DAAB116A4A384BC9E7D6BA1DD5185CA558E07E1C6ED9F343F5C5	A train pulls into the station beside a metal platform under green industrial light.
116	0	0	192	0	0	237	0x24	0x24	mapped	8	6	md1stin	18E7F7E7DD47A52C98255001DA76578D335AF5F4CA238ADA81FCD5EC6FEB6FA2	AC918E9D3752DAAB116A4A384BC9E7D6BA1DD5185CA558E07E1C6ED9F343F5C5	Avalanche fighters leap down and rush the platform, knocking two Shinra guards to the ground.
116	0	0	204	0	0	246	0x24	0x03	reviewed	8	8	md1stin	18E7F7E7DD47A52C98255001DA76578D335AF5F4CA238ADA81FCD5EC6FEB6FA2	AC918E9D3752DAAB116A4A384BC9E7D6BA1DD5185CA558E07E1C6ED9F343F5C5	Barret, a towering man with a gun-arm, steps off. Cloud flips down behind him, an enormous sword on his back.
116	0	0	269	0	0	295	0x24	0x24	mapped	5	5	md1stin	18E7F7E7DD47A52C98255001DA76578D335AF5F4CA238ADA81FCD5EC6FEB6FA2	AC918E9D3752DAAB116A4A384BC9E7D6BA1DD5185CA558E07E1C6ED9F343F5C5	Barret motions for Cloud to follow and charges up the platform, leaving the fallen guards behind.
117	0	0	82	0	0	91	0x24	0x24	mapped	7	8	md1_1	E9FE8B1B2D880A6B13BDF06B909C7BF9B9F9970804197B218AFD52E3314C3CA7	77A6CF630E9E777FD7CC83BC154F9E979E65E7EBF4CC9981A50B42E15CF2277E	Cloud catches up with Biggs, Jessie, and Wedge at a locked security gate. Barret charges in, jabbing a finger as he orders them to split up.
117	0	0	85	0	0	94	0xF1	0xF1	mapped	7	8	md1_1	E9FE8B1B2D880A6B13BDF06B909C7BF9B9F9970804197B218AFD52E3314C3CA7	77A6CF630E9E777FD7CC83BC154F9E979E65E7EBF4CC9981A50B42E15CF2277E	Jessie works the controls. The two heavy doors unlock and slide apart.
117	0	0	122	0	0	131	0x24	0x24	mapped	8	8	md1_1	E9FE8B1B2D880A6B13BDF06B909C7BF9B9F9970804197B218AFD52E3314C3CA7	77A6CF630E9E777FD7CC83BC154F9E979E65E7EBF4CC9981A50B42E15CF2277E	Jessie, Biggs, and Wedge run through the open gate one after another.
117	0	0	134	0	0	143	0x24	0x24	mapped	8	6	md1_1	E9FE8B1B2D880A6B13BDF06B909C7BF9B9F9970804197B218AFD52E3314C3CA7	77A6CF630E9E777FD7CC83BC154F9E979E65E7EBF4CC9981A50B42E15CF2277E	Barret gives Cloud one last suspicious look, then runs after the others. Left alone, Cloud turns toward the towering reactor.
125	3	5	54	3	5	54	0x24	0x24	mapped	6	2	nmkin_5	A5D45A3B65E3BDAC80DA381D552DB1A9C6D79605983E759D6CC818F0E5BBF6EF	1DF9D7ECC91F519364A25DAC22F56C134BFC7A2850126188081704E6D5EAE972	The reactor flashes red. Cloud freezes on tiptoe as a sharp hum pierces his thoughts.
125	3	6	34	3	6	34	0x24	0x24	mapped	5	7	nmkin_5	A5D45A3B65E3BDAC80DA381D552DB1A9C6D79605983E759D6CC818F0E5BBF6EF	1DF9D7ECC91F519364A25DAC22F56C134BFC7A2850126188081704E6D5EAE972	Cloud kneels beside the reactor machinery and begins setting the bomb.
125	3	6	89	3	6	89	0x24	0x24	mapped	8	3	nmkin_5	A5D45A3B65E3BDAC80DA381D552DB1A9C6D79605983E759D6CC818F0E5BBF6EF	1DF9D7ECC91F519364A25DAC22F56C134BFC7A2850126188081704E6D5EAE972	Cloud finishes arming the bomb and rises.
